22317651,05/08/2018,CCAFH2AIH719                            ,196392,T36885,00  ,368.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH729                            ,196402,490825,00  ,418.95          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH730                            ,196403,889460,00  ,510.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH731                            ,196404,T05043,00  ,48.95           ,N  ,P  
22317651,05/08/2018,CCAFH1AIH732                            ,196405,314213,00  ,110.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH733                            ,196406,077967,00  ,460.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH734                            ,196407,020980,00  ,1846.93         ,N  ,P  
22317651,05/08/2018,CCAFH1AIH735                            ,196408,058520,00  ,103.95          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH736                            ,196409,031664,00  ,1140.00         ,N  ,P  
22317651,05/08/2018,CCAFH2AIH737                            ,196410,041534,00  ,460.00          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH738                            ,196411,T97950,00  ,598.95          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH720                            ,196393,254576,00  ,2409.00         ,N  ,P  
22317651,05/08/2018,CCAFH1AIH740                            ,196413,083523,00  ,190.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH739                            ,196412,087021,00  ,270.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH741                            ,196414,T28425,00  ,1400.00         ,N  ,P  
22317651,05/08/2018,CCAFH2AIH742                            ,196415,373234,00  ,256.85          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH743                            ,196416,047671,00  ,470.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH744                            ,196417,R06050,00  ,2097.90         ,N  ,P  
22317651,05/08/2018,CCAFH1AIH745                            ,196418,T40587,00  ,125.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH746                            ,196419,T52469,00  ,470.00          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH747                            ,196420,T62940,00  ,470.00          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH748                            ,196421,987361,00  ,270.00          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH721                            ,196394,T88776,00  ,418.95          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH749                            ,196422,077286,00  ,2435.80         ,N  ,P  
22317651,05/08/2018,CCAFH1AIH750                            ,196423,086249,00  ,3356.64         ,N  ,P  
22317651,05/08/2018,CCAFH2AIH751                            ,196424,099226,00  ,1448.85         ,N  ,P  
22317651,05/08/2018,CCAFH2AIH722                            ,196395,000000,05  ,510.00          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH723                            ,196396,000000,05  ,510.00          ,N  ,P  
22317651,05/08/2018,CCAFH2AIH725                            ,196398,060352,00  ,380.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH726                            ,196399,000000,05  ,270.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH727                            ,196400,090846,00  ,270.00          ,N  ,P  
22317651,05/08/2018,CCAFH1AIH728                            ,196401,T07474,00  ,510.00          ,N  ,P  
22302636,05/08/2018,107412545883                            ,017516,991061,00  ,1418.02         ,S  ,P  
22418350,05/08/2018,107412549279                            ,454419,011119,00  ,19.00           ,S  ,P  
22418350,05/08/2018,107412575106                            ,454429,R72363,00  ,201.00          ,S  ,P  
22302636,05/08/2018,107412551698                            ,017533,489850,00  ,5999.00         ,S  ,P  
22302636,05/08/2018,107412646380                            ,017698,497136,00  ,4800.00         ,S  ,P  
22418350,05/08/2018,107412749445                            ,454542,083662,00  ,179.00          ,S  ,P  
22418350,05/08/2018,107412750419                            ,454543,959344,00  ,99.00           ,S  ,P  
22302636,05/08/2018,107412647311                            ,017699,098924,00  ,1949.00         ,S  ,P  
22418350,05/08/2018,107412751436                            ,454544,093279,00  ,398.00          ,S  ,P  
22302636,05/08/2018,107412648776                            ,017704,497271,00  ,61.00           ,S  ,P  
22302636,05/08/2018,107412649712                            ,017707,497351,00  ,475.00          ,S  ,P  
